chunk_id,parent_document_id,file_name,doc_type,page_number,source_path
doc_00001_chunk_029,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_030,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_031,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_032,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_033,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_034,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_035,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_036,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_037,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_038,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_039,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_040,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_041,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_042,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_043,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
